300 18106
12 104 5
12 111 7
12 122 1
12 125 2
12 129 5
12 131 9
12 135 8
12 145 7
12 149 10
12 154 3
12 155 4
12 156 6
12 161 7
12 166 6
12 168 1
12 169 6
12 173 4
12 190 7
12 196 5
12 197 5
12 198 9
12 217 4
12 219 4
12 220 8
12 223 3
12 229 5
12 231 7
12 239 1
12 248 5
12 249 2
12 262 7
12 269 8
12 273 6
12 275 6
12 276 4
12 278 10
12 286 3
12 291 10
13 0 8
13 4 5
13 6 7
13 20 3
13 25 7
13 26 4
13 27 9
13 33 10
13 52 10
13 53 7
13 64 4
13 69 8
13 72 5
13 74 4
13 77 2
13 79 5
13 81 8
13 82 2
13 86 10
13 91 4
13 94 4
13 98 5
13 99 1
13 106 5
13 114 3
13 116 5
13 117 9
13 118 4
13 127 10
13 128 6
13 137 2
13 140 4
13 150 10
13 157 8
13 158 2
13 164 1
13 166 7
13 172 9
13 173 10
13 176 4
13 178 1
13 181 8
13 184 5
13 193 7
13 196 5
13 200 8
13 201 3
13 213 8
13 220 7
13 222 6
13 223 4
13 239 1
13 243 4
13 249 5
13 250 1
13 261 4
13 266 3
13 276 2
13 283 6
13 286 5
13 287 2
13 288 8
14 0 1
14 1 5
14 5 7
14 7 1
14 9 10
14 12 9
14 13 10
14 17 8
14 19 7
14 31 4
14 32 7
14 33 7
14 35 1
14 41 3
14 44 5
14 46 6
14 49 10
14 55 10
14 56 6
14 60 8
14 65 10
14 75 6
14 76 4
14 78 3
14 79 6
14 81 6
14 82 9
14 83 5
14 105 7
14 117 9
14 128 3
14 137 10
14 140 5
14 143 10
14 155 7
14 166 5
14 169 6
14 173 5
14 174 9
14 177 3
14 178 1
14 180 10
14 181 5
14 182 7
14 185 10
14 188 10
14 189 6
14 204 10
14 212 1
14 214 5
14 218 7
14 220 2
14 237 4
14 252 6
14 258 3
14 259 6
14 264 9
14 272 8
14 281 8
14 283 9
14 286 2
15 1 8
15 3 9
15 5 4
15 8 2
15 19 4
15 21 9
15 22 5
15 24 4
15 33 8
15 38 4
15 48 6
15 51 9
15 52 7
15 57 10
15 62 10
15 71 4
15 75 10
15 82 9
15 94 5
15 96 5
15 98 9
15 120 9
15 122 5
15 124 5
15 130 9
15 136 1
15 144 8
15 145 3
15 149 2
15 153 6
15 154 10
15 159 3
15 161 9
15 166 5
15 167 4
15 170 10
15 177 7
15 191 8
15 198 10
15 203 5
15 204 7
15 211 6
15 218 5
15 232 9
15 236 5
15 238 1
15 239 8
15 242 10
15 246 3
15 251 2
15 252 8
15 255 8
15 262 7
15 267 2
15 283 5
15 294 5
15 295 4
15 299 9
16 3 10
16 4 6
16 12 5
16 13 4
16 33 6
16 35 9
16 43 1
16 47 9
16 50 9
16 57 1
16 59 1
16 60 9
16 69 2
16 73 4
16 74 3
16 75 8
16 85 2
16 86 2
16 91 1
16 95 10
16 102 7
16 104 7
16 114 2
16 116 2
16 128 2
16 139 9
16 151 9
16 152 5
16 157 6
16 158 6
16 162 2
16 164 3
16 165 3
16 172 7
16 178 4
16 196 9
16 202 1
16 203 10
16 206 9
16 208 6
16 215 9
16 216 1
16 218 1
16 226 7
16 233 2
16 239 1
16 247 3
16 248 6
16 253 4
16 255 7
16 256 1
16 257 2
16 260 8
16 263 7
16 264 1
16 268 5
16 271 1
16 283 4
16 287 2
16 290 6
16 291 4
16 294 7
17 1 6
17 19 6
17 23 10
17 26 9
17 29 5
17 37 9
17 43 3
17 56 8
17 65 7
17 68 5
17 69 9
17 70 9
17 71 1
17 72 1
17 78 5
17 81 5
17 104 8
17 109 8
17 116 7
17 118 8
17 122 7
17 125 10
17 142 2
17 143 7
17 145 2
17 146 8
17 150 6
17 151 5
17 155 8
17 160 2
17 165 6
17 171 5
17 172 6
17 177 7
17 178 9
17 187 2
17 188 4
17 193 7
17 195 2
17 197 1
17 206 3
17 207 4
17 213 2
17 215 5
17 221 4
17 231 6
17 233 1
17 235 8
17 236 8
17 238 8
17 252 2
17 255 8
17 256 4
17 263 4
17 264 6
17 265 8
17 292 3
17 295 6
18 3 1
18 5 1
18 6 7
18 7 7
18 8 7
18 10 4
18 11 9
18 13 7
18 26 7
18 30 2
18 31 4
18 38 2
18 40 6
18 64 5
18 66 8
18 67 10
18 84 2
18 88 9
18 89 7
18 92 10
18 93 10
18 98 1
18 105 10
18 107 1
18 108 7
18 109 3
18 112 5
18 128 2
18 136 2
18 137 2
18 142 4
18 144 10
18 152 5
18 153 10
18 159 7
18 160 2
18 169 1
18 172 5
18 177 4
18 179 3
18 183 3
18 184 2
18 192 5
18 193 5
18 196 3
18 199 6
18 203 4
18 213 10
18 220 3
18 222 4
18 224 1
18 230 10
18 236 4
18 237 3
18 241 4
18 244 10
18 253 3
18 255 10
18 259 2
18 261 8
18 265 4
18 266 8
18 271 8
18 283 7
18 284 10
18 288 1
18 290 4
18 292 1
19 4 1
19 8 5
19 13 6
19 20 3
19 25 4
19 28 7
19 29 9
19 32 4
19 43 5
19 46 1
19 57 5
19 63 7
19 71 5
19 76 8
19 78 2
19 86 10
19 93 3
19 100 6
19 109 8
19 112 6
19 114 9
19 116 10
19 122 4
19 127 2
19 128 9
19 129 1
19 133 9
19 137 8
19 141 6
19 151 8
19 152 9
19 160 2
19 163 6
19 169 8
19 170 5
19 172 7
19 173 9
19 178 4
19 182 10
19 185 1
19 188 8
19 189 6
19 193 5
19 195 5
19 196 7
19 207 6
19 212 6
19 215 6
19 216 7
19 220 9
19 222 8
19 224 3
19 227 7
19 229 8
19 237 7
19 240 7
19 242 8
19 244 7
19 250 8
19 251 9
19 268 7
19 269 2
19 272 7
19 290 4
19 291 4
19 292 6
19 293 7
20 1 10
20 6 5
20 7 4
20 9 9
20 14 8
20 28 2
20 31 10
20 34 2
20 39 3
20 51 2
20 57 10
20 59 5
20 68 3
20 72 2
20 73 1
20 78 8
20 97 3
20 101 2
20 109 7
20 110 7
20 117 7
20 118 8
20 121 10
20 122 3
20 127 2
20 136 5
20 142 9
20 147 10
20 155 3
20 183 7
20 184 5
20 187 8
20 189 1
20 194 2
20 195 5
20 198 6
20 200 1
20 201 8
20 204 8
20 210 1
20 212 5
20 214 5
20 223 5
20 236 10
20 246 2
20 247 5
20 253 8
20 254 5
20 255 9
20 256 6
20 261 9
20 266 2
20 275 4
20 277 4
20 289 8
20 291 4
20 296 5
20 297 2
21 12 9
21 19 6
21 33 5
21 36 5
21 46 9
21 53 2
21 55 10
21 62 3
21 65 9
21 77 1
21 84 9
21 85 1
21 86 3
21 88 10
21 91 7
21 104 7
21 105 10
21 109 9
21 115 1
21 119 5
21 131 10
21 135 2
21 136 1
21 139 4
21 145 7
21 154 4
21 157 10
21 160 4
21 168 1
21 170 4
21 175 2
21 181 2
21 182 2
21 187 1
21 189 10
21 190 10
21 204 4
21 205 4
21 227 1
21 229 7
21 231 2
21 232 6
21 239 10
21 243 6
21 245 2
21 249 8
21 254 2
21 260 9
21 267 3
21 270 10
21 276 3
21 279 6
21 284 8
21 285 6
21 289 5
21 291 6
21 292 10
21 297 5
21 298 4
22 0 7
22 2 1
22 5 7
22 18 6
22 24 8
22 28 3
22 35 9
22 42 4
22 44 1
22 54 10
22 55 7
22 58 10
22 60 6
22 67 2
22 71 10
22 86 6
22 88 4
22 96 8
22 100 4
22 108 2
22 109 2
22 115 3
22 119 1
22 121 10
22 130 6
22 140 6
22 141 4
22 142 10
22 144 10
22 147 5
22 155 6
22 159 2
22 162 9
22 164 5
22 165 10
22 166 3
22 169 8
22 174 5
22 175 3
22 180 5
22 187 3
22 189 7
22 198 8
22 202 6
22 208 7
22 211 4
22 213 8
22 217 1
22 219 10
22 220 10
22 227 6
22 232 3
22 233 10
22 234 10
22 236 6
22 237 6
22 242 8
22 251 4
22 254 8
22 255 2
22 264 10
22 265 8
22 270 5
22 271 7
22 284 5
22 293 9
22 296 1
22 297 10
22 298 10
23 4 1
23 16 3
23 17 2
23 19 3
23 25 10
23 28 6
23 31 8
23 40 2
23 42 1
23 52 10
23 53 9
23 57 10
23 58 10
23 61 8
23 68 6
23 71 1
23 76 6
23 79 3
23 84 10
23 87 6
23 93 8
23 95 5
23 96 2
23 97 5
23 98 9
23 103 9
23 113 10
23 120 7
23 121 10
23 130 4
23 146 8
23 149 3
23 150 5
23 160 9
23 167 6
23 175 9
23 179 4
23 180 4
23 184 10
23 199 1
23 205 9
23 211 2
23 212 2
23 215 6
23 216 6
23 217 3
23 220 2
23 223 4
23 224 6
23 231 9
23 237 3
23 240 10
23 243 5
23 245 2
23 248 6
23 254 9
23 258 2
23 260 9
23 271 3
23 274 2
23 283 9
23 295 6
23 296 7
24 0 5
24 1 7
24 2 8
24 4 2
24 7 4
24 19 7
24 23 3
24 35 5
24 36 3
24 40 10
24 42 6
24 47 5
24 48 1
24 50 10
24 54 9
24 57 6
24 66 1
24 69 10
24 71 4
24 80 5
24 81 5
24 82 3
24 83 8
24 94 2
24 95 3
24 96 8
24 99 2
24 103 8
24 107 2
24 111 4
24 132 6
24 136 10
24 144 3
24 146 6
24 147 7
24 148 10
24 150 8
24 152 7
24 155 9
24 156 10
24 162 4
24 166 2
24 170 10
24 174 2
24 180 9
24 191 1
24 194 6
24 195 8
24 204 7
24 212 6
24 219 3
24 231 1
24 232 5
24 236 6
24 245 9
24 249 2
24 251 3
24 252 10
24 256 9
24 266 8
24 269 3
24 271 4
24 273 10
24 275 8
24 278 6
24 282 8
24 288 10
24 289 10
24 293 6
25 0 8
25 2 9
25 3 7
25 11 1
25 24 4
25 26 1
25 27 6
25 29 1
25 41 3
25 44 3
25 46 3
25 49 5
25 51 1
25 52 4
25 56 10
25 60 9
25 69 10
25 73 10
25 82 4
25 85 6
25 88 2
25 98 2
25 100 9
25 106 5
25 110 3
25 116 2
25 120 1
25 122 9
25 124 8
25 130 6
25 131 8
25 134 5
25 141 3
25 144 1
25 145 2
25 149 8
25 152 8
25 156 6
25 167 2
25 168 8
25 172 8
25 176 2
25 185 8
25 191 9
25 197 1
25 219 1
25 228 8
25 235 10
25 239 6
25 241 3
25 246 1
25 250 2
25 253 3
25 254 8
25 260 8
25 268 3
25 273 6
25 274 5
25 276 5
25 285 1
25 287 6
26 9 6
26 10 4
26 14 1
26 16 7
26 17 8
26 28 7
26 45 2
26 47 1
26 48 10
26 57 9
26 64 5
26 65 8
26 74 1
26 84 9
26 90 8
26 99 8
26 106 5
26 108 9
26 112 2
26 113 3
26 121 9
26 122 10
26 123 6
26 128 8
26 133 5
26 137 9
26 141 4
26 142 8
26 144 1
26 145 4
26 146 10
26 147 7
26 154 9
26 166 10
26 178 4
26 188 9
26 194 8
26 214 7
26 220 2
26 221 6
26 225 10
26 227 2
26 235 7
26 250 8
26 254 2
26 257 10
26 260 9
26 266 7
26 272 4
26 275 5
26 280 2
26 290 2
26 291 6
26 293 3
27 1 9
27 16 9
27 21 4
27 24 6
27 25 9
27 29 3
27 31 10
27 39 2
27 41 6
27 49 8
27 52 4
27 60 3
27 63 7
27 67 9
27 77 1
27 78 1
27 81 6
27 116 6
27 120 5
27 121 1
27 136 5
27 137 6
27 147 10
27 166 6
27 173 1
27 179 6
27 187 3
27 188 4
27 192 8
27 198 1
27 201 9
27 203 2
27 214 3
27 223 4
27 229 10
27 231 9
27 235 5
27 238 7
27 242 10
27 244 2
27 245 7
27 248 3
27 271 9
27 281 5
27 285 9
27 288 10
27 290 9
27 291 3
27 296 8
27 297 1
28 5 7
28 8 3
28 12 1
28 13 9
28 19 5
28 21 3
28 23 10
28 24 8
28 34 1
28 35 6
28 45 6
28 48 10
28 49 2
28 51 9
28 53 4
28 59 8
28 60 3
28 62 6
28 63 8
28 69 2
28 72 6
28 85 6
28 89 1
28 90 6
28 98 6
28 100 8
28 102 4
28 103 5
28 105 10
28 117 9
28 119 1
28 123 3
28 125 4
28 126 8
28 128 10
28 135 4
28 145 10
28 149 3
28 157 10
28 161 5
28 164 3
28 170 9
28 174 3
28 177 7
28 184 6
28 189 10
28 195 8
28 199 4
28 207 6
28 209 10
28 210 5
28 211 5
28 213 1
28 221 8
28 222 2
28 225 3
28 226 10
28 244 8
28 249 1
28 251 8
28 252 10
28 255 3
28 258 3
28 262 10
28 263 8
28 270 3
28 271 7
28 285 7
28 293 8
28 296 4
29 13 5
29 17 8
29 30 5
29 31 6
29 44 3
29 50 8
29 55 3
29 56 8
29 62 10
29 66 4
29 67 6
29 73 9
29 76 3
29 77 8
29 79 2
29 83 5
29 84 10
29 87 10
29 91 8
29 103 4
29 109 9
29 110 8
29 111 9
29 113 6
29 117 5
29 122 4
29 134 5
29 137 3
29 141 7
29 147 7
29 156 7
29 160 3
29 167 1
29 175 6
29 179 8
29 189 6
29 191 10
29 192 2
29 197 4
29 200 8
29 203 6
29 208 8
29 216 3
29 218 3
29 228 5
29 229 9
29 233 5
29 234 10
29 240 9
29 254 8
29 259 2
29 266 7
29 271 2
29 274 2
29 277 4
29 292 7
29 296 9
29 298 4
30 5 5
30 10 4
30 20 1
30 22 5
30 24 9
30 29 3
30 39 4
30 40 1
30 47 5
30 49 2
30 57 7
30 62 6
30 65 2
30 70 3
30 72 6
30 85 10
30 90 8
30 94 10
30 100 7
30 109 2
30 114 9
30 126 6
30 130 6
30 133 10
30 144 6
30 152 8
30 154 2
30 164 2
30 172 1
30 185 6
30 193 1
30 195 3
30 197 5
30 198 9
30 204 1
30 224 7
30 229 4
30 238 2
30 245 3
30 248 2
30 251 2
30 253 6
30 254 10
30 258 7
30 261 8
30 262 8
30 263 2
30 264 7
30 274 10
30 281 3
30 283 10
30 285 5
30 286 3
30 287 2
30 288 5
30 289 7
30 296 2
31 1 6
31 5 2
31 9 3
31 10 9
31 11 7
31 18 6
31 21 6
31 25 6
31 35 2
31 36 9
31 46 6
31 52 6
31 57 1
31 63 7
31 68 8
31 83 3
31 84 7
31 86 10
31 92 9
31 97 4
31 99 4
31 105 2
31 110 7
31 111 6
31 115 6
31 118 10
31 126 6
31 128 4
31 133 9
31 134 7
31 140 9
31 150 5
31 151 1
31 168 3
31 172 1
31 175 4
31 178 3
31 187 2
31 188 6
31 190 5
31 205 3
31 207 2
31 208 10
31 222 8
31 223 7
31 224 4
31 225 10
31 240 2
31 250 4
31 259 6
31 267 9
31 268 5
31 269 3
31 272 3
31 276 4
31 283 1
31 285 8
31 287 9
31 291 10
31 294 3
31 296 8
31 297 5
31 298 6
32 4 5
32 8 4
32 11 4
32 14 5
32 19 10
32 24 10
32 39 8
32 45 3
32 59 7
32 67 7
32 68 5
32 71 6
32 76 5
32 84 4
32 89 1
32 96 4
32 99 2
32 107 2
32 111 2
32 113 9
32 118 4
32 128 2
32 133 7
32 134 10
32 174 5
32 175 4
32 176 8
32 177 2
32 178 6
32 185 10
32 188 5
32 194 2
32 196 1
32 202 2
32 219 9
32 228 1
32 229 3
32 235 6
32 236 10
32 238 7
32 243 3
32 253 7
32 255 10
32 267 3
32 273 8
32 276 3
32 280 9
32 286 7
32 291 9
33 1 7
33 6 1
33 28 7
33 44 7
33 48 1
33 60 5
33 63 8
33 65 4
33 79 4
33 80 8
33 83 5
33 87 3
33 94 4
33 95 8
33 98 2
33 100 2
33 104 2
33 106 7
33 119 4
33 121 1
33 122 10
33 123 9
33 133 7
33 134 1
33 135 5
33 140 8
33 143 3
33 146 1
33 158 5
33 167 10
33 168 4
33 186 1
33 188 9
33 195 3
33 197 2
33 198 5
33 200 8
33 203 10
33 207 9
33 208 5
33 209 8
33 214 7
33 220 3
33 223 1
33 224 2
33 245 5
33 251 1
33 256 6
33 261 10
33 268 8
33 270 1
33 273 3
33 279 1
33 287 1
33 291 5
33 297 8
34 2 1
34 13 2
34 20 10
34 23 9
34 27 1
34 32 10
34 33 3
34 35 2
34 39 5
34 49 2
34 51 1
34 52 8
34 58 6
34 65 2
34 68 8
34 73 6
34 74 1
34 81 6
34 82 3
34 85 6
34 94 4
34 96 8
34 97 5
34 106 2
34 108 2
34 111 9
34 112 6
34 113 9
34 114 10
34 115 1
34 122 2
34 123 9
34 127 1
34 128 8
34 135 1
34 145 9
34 148 4
34 158 6
34 159 10
34 161 8
34 165 9
34 175 2
34 179 4
34 181 3
34 184 4
34 185 4
34 186 4
34 191 9
34 193 9
34 195 10
34 201 1
34 204 1
34 206 7
34 210 10
34 216 7
34 220 5
34 221 4
34 222 1
34 236 6
34 242 4
34 243 9
34 245 3
34 248 10
34 252 3
34 253 3
34 257 5
34 258 3
34 265 6
34 270 6
34 272 5
34 275 9
34 277 6
34 278 4
34 280 3
34 281 6
34 286 9
34 292 9
34 299 4
35 3 2
35 6 7
35 9 8
35 10 1
35 25 7
35 27 10
35 28 5
35 30 2
35 33 10
35 40 3
35 42 9
35 44 9
35 48 10
35 54 6
35 64 3
35 65 3
35 71 4
35 73 2
35 77 7
35 80 8
35 81 3
35 86 6
35 91 6
35 93 5
35 95 4
35 96 3
35 98 6
35 100 8
35 101 8
35 111 7
35 115 1
35 117 1
35 122 9
35 128 8
35 132 8
35 147 4
35 148 10
35 156 7
35 159 8
35 161 3
35 164 7
35 172 1
35 175 3
35 177 10
35 178 1
35 181 4
35 182 7
35 185 1
35 189 2
35 190 5
35 202 9
35 206 5
35 207 6
35 210 1
35 211 5
35 219 5
35 223 7
35 224 1
35 231 10
35 244 5
35 248 2
35 253 4
35 254 7
35 259 6
35 262 5
35 263 3
35 270 1
35 277 6
35 281 1
35 286 4
36 0 10
36 2 3
36 15 8
36 18 2
36 27 4
36 30 7
36 35 6
36 39 2
36 42 3
36 44 6
36 50 7
36 64 3
36 76 6
36 81 2
36 84 9
36 86 2
36 90 5
36 92 3
36 95 5
36 96 9
36 100 6
36 103 1
36 118 2
36 121 4
36 124 4
36 131 4
36 137 6
36 144 8
36 148 8
36 149 9
36 154 2
36 155 6
36 156 1
36 159 2
36 164 10
36 165 7
36 169 6
36 171 9
36 184 4
36 189 9
36 202 3
36 206 8
36 207 3
36 216 7
36 222 5
36 232 4
36 236 4
36 243 1
36 244 4
36 245 8
36 246 10
36 247 8
36 248 9
36 255 2
36 256 5
36 259 2
36 260 5
36 261 10
36 263 1
36 264 10
36 273 2
36 278 10
36 281 2
36 287 6
36 294 9
37 14 1
37 15 7
37 19 6
37 21 1
37 23 8
37 27 7
37 50 5
37 61 8
37 64 8
37 77 8
37 78 1
37 83 3
37 84 5
37 97 9
37 100 8
37 106 6
37 108 3
37 109 4
37 110 9
37 129 1
37 132 4
37 136 6
37 139 6
37 141 3
37 152 10
37 164 9
37 169 7
37 171 7
37 178 8
37 185 5
37 187 9
37 205 10
37 206 10
37 216 2
37 217 1
37 218 2
37 220 3
37 223 7
37 227 10
37 237 7
37 246 4
37 251 7
37 252 8
37 258 5
37 261 8
37 274 9
37 275 2
37 276 1
37 284 2
37 287 5
37 289 7
37 294 9
37 299 3
38 0 3
38 3 5
38 5 10
38 8 7
38 9 3
38 13 2
38 21 3
38 27 6
38 37 7
38 42 6
38 67 4
38 72 5
38 74 6
38 77 2
38 79 4
38 86 9
38 102 3
38 103 8
38 106 6
38 109 5
38 111 7
38 112 4
38 114 5
38 116 10
38 125 7
38 126 8
38 128 10
38 132 9
38 134 2
38 135 5
38 143 7
38 145 6
38 150 9
38 156 7
38 158 5
38 174 5
38 181 2
38 188 7
38 197 5
38 204 8
38 206 7
